mu,n,K,seed,protocol,last,average,floor
0.35,2048,64,6,reshuffle,0.020489175267042106,0.020582496061562018,0.021373447279393193
0.35,2048,128,6,reshuffle,0.020487321017612425,0.020512234105146243,0.021373447279393193
0.35,2048,256,6,reshuffle,0.02048718992253644,0.020493551925571264,0.021373447279393193
0.35,2048,1,6,cyclic,0.038003328002863136,0.049695366692143826,0.021373447279393193
0.35,2048,2,6,cyclic,0.027358161186716638,0.0363834015227283,0.021373447279393193
0.35,2048,4,6,cyclic,0.022617570387473234,0.028400945225719187,0.021373447279393193
0.35,2048,8,6,cyclic,0.0209697491748426,0.023863262250878346,0.021373447279393193
0.35,2048,16,6,cyclic,0.02056005361059343,0.021664173792347193,0.021373447279393193
0.35,2048,32,6,cyclic,0.020497071765545317,0.020834512409189834,0.021373447279393193
0.35,2048,64,6,cyclic,0.02048872306377346,0.02058097947689667,0.021373447279393193
0.35,2048,128,6,cyclic,0.020487287031000192,0.020511601687726637,0.021373447279393193
0.35,2048,256,6,cyclic,0.020487189701591347,0.02049337367468821,0.021373447279393193
0.35,2048,1,7,with_replacement,0.03879714487349244,0.060391545180779306,0.021373447279393193
0.35,2048,2,7,with_replacement,0.0292857718231936,0.04281024705814022,0.021373447279393193
0.35,2048,4,7,with_replacement,0.025872443194399658,0.031029173529942417,0.021373447279393193
0.35,2048,8,7,with_replacement,0.01904543877308349,0.023862929220555874,0.021373447279393193
0.35,2048,16,7,with_replacement,0.017808157586340204,0.019949488216436457,0.021373447279393193
0.35,2048,32,7,with_replacement,0.017653583905111687,0.01833955618508334,0.021373447279393193
0.35,2048,64,7,with_replacement,0.01763826878218979,0.017823245509849237,0.021373447279393193
0.35,2048,128,7,with_replacement,0.017637502210383967,0.017684113672720533,0.021373447279393193
0.35,2048,256,7,with_replacement,0.01763749593878883,0.01764903535545245,0.021373447279393193
0.35,2048,1,7,reshuffle,0.03483541368115809,0.05413901547795867,0.021373447279393193
0.35,2048,2,7,reshuffle,0.026140934986436333,0.03898117410660302,0.021373447279393193
0.35,2048,4,7,reshuffle,0.0222024055153043,0.02876074318933751,0.021373447279393193
0.35,2048,8,7,reshuffle,0.018499658550710323,0.02261204486521451,0.021373447279393193
0.35,2048,16,7,reshuffle,0.01777520890825751,0.01946320399366785,0.021373447279393193
0.35,2048,32,7,reshuffle,0.01765022604228471,0.018190743297146296,0.021373447279393193
0.35,2048,64,7,reshuffle,0.01763806822929092,0.017785578514663895,0.021373447279393193
0.35,2048,128,7,reshuffle,0.0176375042849411,0.017674733158939516,0.021373447279393193
0.35,2048,256,7,reshuffle,0.01763749722756857,0.01764673354392327,0.021373447279393193
0.35,2048,1,7,cyclic,0.034885855908720245,0.05231749952447401,0.021373447279393193
0.35,2048,2,7,cyclic,0.02653221613765123,0.03794730189545633,0.021373447279393193
0.35,2048,4,7,cyclic,0.021547582932326108,0.028736250777117837,0.021373447279393193
0.35,2048,8,7,cyclic,0.019019626219862286,0.023045048019772207,0.021373447279393193
0.35,2048,16,7,cyclic,0.01799291266792301,0.019915069828109776,0.021373447279393193
0.35,2048,32,7,cyclic,0.017687574413822037,0.018448208155236297,0.021373447279393193
0.35,2048,64,7,cyclic,0.017639588766648208,0.01787664614860165,0.021373447279393193
0.35,2048,128,7,cyclic,0.017637524460431073,0.017699209352070235,0.021373447279393193
0.35,2048,256,7,cyclic,0.01763749585666306,0.01765286448282486,0.021373447279393193
0.35,2048,1,8,with_replacement,0.043086029055391155,0.0628865719480039,0.021373447279393193
0.35,2048,2,8,with_replacement,0.032171869885688445,0.04472287102786437,0.021373447279393193
0.35,2048,4,8,with_replacement,0.027473538546574368,0.03445000261002394,0.021373447279393193
0.35,2048,8,8,with_replacement,0.02521371290313272,0.028810960160757213,0.021373447279393193
